Time,Target,TargetPos,TargetScale,InitialHit,AvgGazeHit,CenterError,EyeToTargetDistance,ValidFrames,ExpectedFrames,GazeHitRate,InitialHit%,AvgGaze%

--- New Session: 7/2/2025 1:53:07 PM ---
18.1977,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.13 4.08 19.95,12.20 4.08 19.95,0.1605,6.1359,214,217,0.99,32.6,32.1
23.2099,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.76 1.57 19.97,7.77 1.66 19.96,0.3087,5.6476,215,215,1.00,74.0,61.7
28.2217,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.93 1.62 19.96,9.93 1.63 19.96,0.2301,5.3179,215,226,0.95,47.2,46.0
33.2334,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,12.15 1.89 19.95,12.18 1.85 19.95,0.0705,5.7650,214,216,0.99,19.6,14.1
38.2459,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,7.74 6.29 19.98,7.71 6.28 19.98,0.4457,6.9866,152,212,0.72,87.3,89.1
43.2576,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,10.00 4.13 19.96,9.99 4.16 19.96,0.3063,5.6902,215,213,1.01,54.5,61.3
48.2694,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,12.11 6.29 19.96,12.07 6.31 19.97,0.3572,7.0876,215,222,0.97,67.2,71.4
53.2823,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,7.83 3.93 19.95,7.78 3.95 19.96,0.2725,5.9914,215,210,1.02,43.8,54.5
58.2931,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,9.92 6.42 19.99,9.94 6.40 19.98,0.4576,6.7298,67,221,0.30,96.3,91.5

--- New Session: 7/2/2025 2:01:30 PM ---
14.2241,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.95 1.49 19.97,9.96 1.51 19.96,0.3222,5.3018,214,219,0.98,69.2,64.4
19.2373,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,12.17 1.62 19.95,12.24 1.62 19.96,0.2048,5.7086,215,215,1.00,38.1,41.0
24.2486,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.77 1.66 19.96,7.77 1.70 19.96,0.2857,5.6685,215,212,1.01,62.7,57.1
29.3381,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,12.29 6.41 19.98,12.28 6.42 19.99,0.4682,7.0560,5,43,0.12,92.4,93.6
34.4277,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,7.74 6.31 19.98,7.76 6.27 19.97,0.4073,7.0242,39,45,0.87,89.9,81.5
39.4636,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,263,0.00,null,null
44.4752,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,7.77 3.95 19.96,7.78 3.96 19.96,0.2808,6.0231,215,222,0.97,56.3,56.2
49.5024,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.26 4.01 19.95,12.27 3.98 19.95,0.1333,6.0900,214,220,0.97,26.7,26.7
54.5154,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,10.02 3.97 19.95,10.05 3.98 19.95,0.1254,5.6855,215,220,0.98,24.4,25.1

--- New Session: 7/2/2025 2:02:28 PM ---
70.4465,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.93 1.75 19.95,9.97 1.72 19.95,0.1421,5.3116,215,214,1.00,30.1,28.4
75.4582,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,12.18 1.73 19.95,12.19 1.76 19.95,0.0724,5.7231,206,225,0.92,18.0,14.5
80.4706,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.85 1.73 19.96,7.85 1.76 19.96,0.1993,5.6730,214,221,0.97,42.1,39.9
85.4813,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,12.07 6.26 19.96,12.09 6.26 19.96,0.3062,7.0744,211,216,0.98,62.2,61.2
90.4947,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,220,0.00,null,null
95.5053,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,215,0.00,null,null
100.5189,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,7.78 4.02 19.96,7.78 3.99 19.96,0.2925,6.0365,215,211,1.02,60.6,58.5
105.5300,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.27 4.13 19.96,12.22 4.19 19.96,0.2688,6.1113,213,213,1.00,47.7,53.8
110.5431,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,10.02 4.06 19.95,10.03 4.08 19.96,0.2172,5.7076,214,207,1.03,39.8,43.4

--- New Session: 7/2/2025 2:16:47 PM ---
12.9079,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,12.24 6.27 19.96,12.28 6.27 19.96,0.3279,7.3803,212,117,1.81,63.7,65.6
17.9216,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,10.05 6.36 19.97,10.12 6.40 19.98,0.4446,7.0887,151,218,0.69,79.1,88.9
22.9342,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,12.14 4.25 19.96,12.11 4.30 19.97,0.3705,6.4266,215,215,1.00,65.1,74.1
27.9455,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,9.89 4.16 19.96,9.91 4.11 19.96,0.2885,6.0680,215,214,1.00,68.2,57.7
32.9582,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,7.89 6.16 19.96,7.88 6.14 19.96,0.2379,7.3852,215,213,1.01,49.3,47.6
37.9701,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,9.96 1.96 19.95,10.05 1.92 19.95,0.1147,5.6652,215,221,0.97,36.1,22.9
42.9814,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,12.41 2.13 19.97,12.37 2.11 19.97,0.3711,6.0244,215,217,0.99,82.0,74.2
47.9940,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,7.57 1.84 19.98,7.76 1.82 19.96,0.2682,6.0274,180,216,0.83,91.9,53.6
53.0065,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,7.73 3.99 19.96,7.71 4.01 19.97,0.3648,6.3998,203,208,0.98,66.8,73.0
